Actual,Predicted
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
