post,label
The opening ceremony of the London 2012 Olympics announced that the new coronavirus was coming.,Deception
Community Steam inhalation or smokers      ,Deception
A quote by doctor Alberto Zangrillo saying that Covid-19 is a consequence of immigration.,Deception
RT : Had a great time moderating this  and  COVID-19 misinformation Q and A with  and …,Deception
"The coronavirus ""snuck up on us” adding that it is “a very unforeseen thing.”",Deception
I've decided to opt out of the KCL symptoms tracker COVID-19 study. It made me resent that a majority of other health issues have been sidelined thanks to this virus. I understand that the virus is dangerous. But the NHS has also shut down to prevent the spread. ,Deception
 season is here.  will rise again. But what about   Can mosquitoes spread   We  ,Deception
President Donald Trump got a Moroccan sheikh (Muslim priest) to put a spell on him that prevents COVID-19.,Deception
COVID-19 exposure notification from Google & Apple is a sensor inserted to trace every phone.,Deception
Graphics with information about COVID-19 containing UNICEF branding and inaccurate information.,Deception
Hydrogels are part of the genome-modifying COVID-19 mRNA vaccines' delivery system. Hydrogels will connect you to the internet.,Deception
"ಕಲ್ಬುರ್ಗಿಯಲ್ಲಿ ಮಾತ್ರವಲ್ಲ ದೇಶದ 29ಲ. COVID19 ಸೋಂಕಿತರು, 138ಕೋ. ಜನತೆ ಆರ್ಥಿಕ ಸಂಕಷ್ಟದಲ್ಲಿರುವಾಗ ಸೋಂಕಿತರನ್ನು ""ದರೋಡೆ"" ಮಾಡಿದವರು ಖಾಸಗಿ ಆಸ್ಪತ್ರೆಯ ಆಡಳಿತ ..! ಇದಕ್ಕೆ ಮೂಲ ಕಾರಣವೇ ಅಧಿಕಾರದಲ್ಲಿರುವ ಭಂಡರು..C ಸೋಂಕು ಎಂದು ಸುಳ್ಳು ಹೇಳಿ ಆಸ್ಪತ್ರೆಗಳು ಲೂಟಿ ಮಾಡಿದ್ದೂ ಇವೆ.     ",Deception
A post claims compulsory vacination violates the principles of bioethics that coronavirus doesn't exist that the PCR test returns many false positives and that influenza vaccine is related to COVID-19.,Deception
"Everyone should ensure their mouth and throat are moist, never dry. The advice attributed to Japanese doctors treating COVID-19 cases further reads that take a few sips of water every 15 minutes at least.",Deception
"High alert: Chicken infected from corona virus found in Bangalore today, kindly circulate the message and avoid consumption of chicken. Spread to your dear ones.",Deception
"A ""Wuhan super virus"" was created in a Chinese biosecurity lab and has infected more than 100,000 people in Wuhan.",Deception
Meghan Markle is Donating One of Her Royal Crowns To The COVID-19 Cause    ,Deception
Bill Gates tried to get a patent for N-95 masks.,Deception
AIIMS has released a list of respiratory symptoms of Covid-19 and similar diseases.,Deception
A record 18 552 new infections have been reported in India in a single day which takes the country’s total confirmed cases over five lakh. In view of the rising number of infections Jharkhand government extends lockdown till 31 July.   ,Deception
"Claim: Kins of those who died of COVID-19 can claim insurance under Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) and Pradhan Mantri Suraksha Bima Yojana (PMSBY)

: PMSBY doesn't cover COVID related deaths, while PMJJBY covers COVID deaths with certain conditions. ",Deception
Photo of several people lying on the ground in the middle of the street allegedly in China.,Deception
This is to tell all of us that the pH for the coronary virus varies from 5.5 to 8.5.,Deception
Alkaline food can cure COVID-19,Deception
"The coronavirus ""snuck up on us,� adding that it is a very unforeseen thing.�",Deception
"Corona Let ppl die I need a photographer. 

Well priorities  ",Deception
NEWS! Coronavirus crisis in Italy leads Donald Trump to close all US Pizzerias  ,Deception
_Cuba developed a coronavirus vaccine._,Deception
Says Gov Tony Evers administration deemed dentists non-essential,Deception
An image has been shared thousands of times in multiple posts on Twitter and Facebook which claim it shows overgrown shrubs at a theme park in Malaysia during a coronavirus lockdown.,Deception
People lying in the street in China because of the new coronavirus.,Deception
Bill Gates predicted coronavirus.,Deception
"Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.�",Deception
"NEWS! People being sent so far for Covid-19 tests, they have to quarantine for 14 days upon return  ",Deception
" PM I think it's about time the Public were told the truth about the origin of this virus please . Some of us suspect it is a biological weapon created in a Chinese Lab , so please come clean so everyone can then know how serious this crisis is ; we can all unite ; fight  ",Deception
The Plague     ,Deception
"Collective consciousness"" on ACE-2 receptors kills Coronavirus.",Deception
"Breaking News- WHO says vaccine for  is ready. 

Just go and buy a BMW Z class 



 ",Deception
NEWS! Manchester United fans wondering if a global Coronavirus pandemic could prevent Liverpool winning league  ,Deception
Video of dead bodies being piled up in Italy due to COVID-19.,Deception
Asia's richest man Mukesh Ambani's wife Nita Ambani received Rs.500 as welfare fund from Central Government.,Deception
If you have symptoms of Covid-19 take azithromycin ivermectin and acetylcysteine.,Deception
Baba Ramdev claims that COVID-19 can be self diagnosed by controlling breathing and that mustard oil kills the virus.,Deception
"A video of a policeman taking down a man wandering during a ""lockdown in Italy.""",Deception
Claim that Saint Corona has always been a patron saint against epidemics.,Deception
"Dr. Anthony Fauci ""has known for 15 years that chloroquine and  hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.�",Deception
Trump says if we stopped COVID-19 testing right now we’d have very few cases if any. Pants on Fire!  ,Deception
Claim that Indian prime minister Modi said one crore (ten million) COVID-19 infected patients have been treated for free.,Deception
A 2009 tweet from Donald Trump said that he would never let thousands of Americans die from a pandemic while in office.,Deception
Only 6% of the people actually died from COVID.� The others died from other reasons.�,Deception
"Donald Trump is not responsible for COVID-19, but he does bear full responsibility for his slow, uncoordinated, bungled response. ",Deception
" ""We are not covid deniers""
Some people deserve to be locked up.",Deception
Obese Man Most Likely To Die First According To Family Sweepstake   ,Deception
"The novel coronavirus (2019-nCoV) ""will not last long"" in the Philippines because of its warm climate.",Deception
NEWS! ‘Don’t lick a zebra for more than 3 minutes’ – Government coronavirus advice enters surreal stage  ,Deception
Lame coronavirus party infects 0 people ,Deception
_A vaccine has been developed that cures Covid-19 in just three hours._,Deception
Video shows a family that died from novel coronavirus.,Deception
Muslim Doctor died while treating people infected with coronavirus in Delhi,Deception
The experts at Nanavati Hospital are giving four common treatments to all patients: Vitamin C dry ginger turmeric and steam.,Deception
Could Miley Cyrus' vagina Hold Clue To Vaccine ,Deception
Bechara Covid19 se down hai else he would have give a nice acceptance speech. Dad this is for you  ,Deception
Before Corona we were al bouncing let’s get back there again ,Deception
WHY CENSOR HER Dr. Li Meng Yan claims COVID was BIO-engineered by Red C...  via ,Deception
" As business continue to adapt their services in the wake of covid-19, the SWA Hand Sanitiser Portal is available for sourcing  and ethanol for producing sanitiser.

️ Complete your details and find suppliers here:  ",Deception
Immunologist and Nobel winner Tasuku Honjo said the new coronavirus isn't natural and was created by the Chinese.,Deception
A message claimed that the Indian government plans to ease down the lockdown restrictions imposed in the country in five stages.,Deception
Tens of Thousands of People Are Moving To Laos     ,Deception
Indian economist Raghuram Rajan chaired the IMF webinar on coronavirus.,Deception
RT : Just like we wash our hands to fight  we can scrub our chats to contain the . Here are some guidelines…,Deception
CoronaVac a vaccine that is being developed in China and will be tested in Brazil is being funded by Bill Gates.,Deception
 Biden is on overdose chloroquine. Corona stage 4 treatment.,Deception
