post,label
790 new cases of ; Delta-166 Lagos-120 Enugu-66 FCT-65 Edo-60 Ogun-43 Kano-41 Kaduna-39 Ondo-33 Rivers-32 Bayelsa-29 Katsina-21 Imo-20 Kwara-18 Oyo-11 Abia-10 Benue-6 Gombe-4 Yobe-2 Bauchi-2 Kebbi-2 26484 confirmed 10152 discharged 603 deaths ,Truth
UN Secretary-General António Guterres has told Sky News coronavirus has put the eradication of poverty 'in question' and taken some aspects of progress 25 years back. Get the latest  news here:  ,Truth
• We now have 1402 people reported as having recovered from COVID-19. This is 94% of all cases.⁣ ⁣ • Today there are two people receiving hospital level care – one each in Middlemore and North Shore hospitals. Neither is in ICU. There are no additional deaths to report.⁣,Truth
Over the last 24 hours NCDC has worked with  and Port Health Services in Lagos ; Abuja to receive 269 Nigerians from India We provided the groups with guidance and materials for observation of the mandatory 14-day self-isolation ,Truth
: India's  recovery rate improves to 76.60% as on August 30 2020 Steady improvement in India's COVID-19 recovery rate since  initiation on March 25 2020   Via  ,Truth
 affects people in all communities. Award-winning actor and tribal elder Wes Studi offers guidance to tribal communities to help slow the spread of coronavirus or “Tsii'chin Bii' Tó” in the Navajo language.  ,Truth
The data today is confusing. After days of huge test volumes we're back to the levels of the earlier plateau. The fewest new cases were confirmed of any day in April but the positive rate was higher than in the last few days too.,Truth
 Please remember that the use of chloroquine and its derivatives for the management of coronavirus disease has NOT been validated and approved Self-medication can cause harm and lead to death. Do not misuse drugs More details via  ,Truth
 is a celebrated legal scholar. She’s been hosting Under the Blacklight at the  to look at “the intersectional vulnerabilities that COVID lays bare.” ,Truth
: India continues to scale new peaks in  tests. More than 11.70 lakh samples tested for 2 consecutive days. No other country has achieved these levels of very high daily testing. The cumulative tests as on date have reached 46679145.  ,Truth
Our daily update is published. States reported 749k tests 44k cases and 1129 deaths. Virginia did not publish new data in time for today's update. ,Truth
The Prime Minister has put his faith in Operation Moonshot but meanwhile on planet earth there was no NHS tests available for several high infection areas says Labour deputy leader Angela Rayner at . Follow live analysis:  ,Truth
Social distancing works for preventing other infectious diseases too. ,Truth
South Dakota has yet to issue any directives to social distance or stay at home. To prevent hospital overload a Stay at Home order must be implemented between April 13th and April 18th at the latest - it could save 1000 lives in Pennington County alone.   ,Truth
In collaboration with  partners we continue to strengthen capacity of frontline health workers in IPC measures. In Cross River our rapid response team worked with the state to assess IPC practice at the UCTH  isolation and treatment facility. ,Truth
:  India Tracker (As on 10 September 2020 08:00 AM) ️Confirmed cases: 4465863 ️Recovered: 3471783 (77.7%) ️Active cases: 919018 (20.6%) ️Deaths: 75062 (1.7%)    Via  ,Truth
And through the COVAX Global Vaccines Facility countries that represent nearly 70% of the global population have signed up or expressed an interest to be part of the new initiative- ,Truth
Visit  to stay up-to-date on the latest COVID data for your state or county. Our warning system focuses on 4 key metrics: Infection Rate Positive Test Rate ICU Headroom Used Contact Traced Data updates every 3 days so be sure to check back regularly.,Truth
: India's cumulative tests have crossed 4.3 crores today (43324834) The States contributing maximum to the overall number of tests include Tamil Nadu Uttar Pradesh ; Maharashtra among others. These three States account for nearly 34% of the total testing. ,Truth
"This is the moment Asia correspondent  was tested for  in China - and he received the results in 30 minutes. The Chinese company behind the test says this shows that Boris Johnson's moonshot testing programme ""can be done"". More here:  ",Truth
: Watch CDC experts discuss managing chronic illness during the  pandemic in this Facebook Live hosted by  and the Global Healthy Living Foundation. ,Truth
• There is one person receiving hospital-level care for COVID-19; they are in Middlemore and are not in ICU. ⁣ ⁣ • Yesterday our laboratories completed 5408 tests bringing the total number of tests completed to date to 250246.⁣,Truth
The highlights of the new nationwide measures are as follows; 1) There will be an overnight curfew from 8pm to 6am. This means all movement will be prohibited during this period except essential services; ,Truth
States reported over 50k cases for the first time today another new record. The national positivity rate is over 7% now despite ever higher testing levels. Hospitalizations are now at late-May levels. ,Truth
All new cases were detected as a result of day 3 or day 12 testing and are now in quarantine.,Truth
How are you keeping current on guidelines and updates during COVID Tell us about it in this confidential survey. No name or email required.  ,Truth
Data on current COVID-19 hospitalizations has been unstable since July 15. We’ve written up everything we know about the problems hospitals and states are having and about some unexpected discrepancies in the state and federal data: ,Truth
Ensure you wash your hands with soap ; running water before going in to your place of worship.  to reduce the risk of spread of  by: Wearing a face mask Observing physical distance Coughing/sneezing into your elbow Avoiding hugs/ handshakes ,Truth
